ItemCode	-	ItemName	-	TOTAL
A-11740	-	BALERO 6307-2RS	-	101.57134
A-11745	-	BALERO 6308	-	188.41996
A-11750	-	BALERO 6308-ZZ	-	133.7828
A-11760	-	BALERO 6308-2RS	-	156.05422
A-11770	-	BALERO 6309-ZZ	-	178.6342
A-11780	-	BALERO 6309-2RS	-	178.6342
A-11790	-	BALERO 6310-ZZ	-	193.10346
A-11800	-	BALERO 6310-2RS	-	229.33722
A-11805	-	BALERO 6310-ZNR	-	299.06076
A-11810	-	BALERO 6311-ZZ	-	275.3898
A-11820	-	BALERO 6311-2RS	-	315.21608
A-11830	-	BALERO 6315 2RS C3	-	515.71396
A-11833	-	BALERO 6203-ZZ ACERO INOX 5/8	-	122.03548
A-11840	-	BALERO MR105-2RS ACERO INOX	-	106.08954
A-11842	-	BALERO R2-2RS ACERO INOX	-	44.54284
A-11844	-	BALERO R3-2RS ACERO INOX	-	37.11536
A-11846	-	BALERO R4-2RS ACERO INOX	-	37.11536
A-11848	-	BALERO R6-2RS ACERO INOX	-	50.12998
A-11850	-	BALERO R8-2RS ACERO INOX	-	62.62666
A-11852	-	BALERO R10-2RS ACERO INOX	-	102.22152
A-11854	-	BALERO R12-2RS ACERO INOX	-	258.3088
A-11855	-	BALERO R14-2RS ACERO INOX	-	350.64538
A-11855-00	-	BALERO R16-2RS ACERO INOX	-	251.45436
A-11856	-	BALERO R18-2RS ACERO INOX	-	541.9085
A-11858	-	BALERO R20-2RS ACERO INOX	-	645.221
A-11860	-	BALERO R22-2RS ACERO INOX	-	826.58816
A-11862	-	BALERO R24-2RS ACERO INOX	-	1038.73418
A-11864	-	BALERO 1604-2RS ACERO INOX	-	73.62462
A-11866	-	BALERO 1605-2RS ACERO INOX	-	59.508
A-11868	-	BALERO 1606-2RS ACERO INOX	-	64.98494
A-11870	-	BALERO 1607-2RS ACERO INOX	-	66.93548
A-11872	-	BALERO 1614-2RS ACERO INOX	-	53.96494
A-11874	-	BALERO 1615-2RS ACERO INOX	-	78.01058
A-11876	-	BALERO 1620-2RS ACERO INOX	-	206.64704
A-11878	-	BALERO 1621-2RS ACERO INOX	-	143.8661
A-11880	-	BALERO 1622-2RS ACERO INOX	-	206.64704
A-11882	-	BALERO 1623-2RS ACERO INOX	-	206.64704
A-11884	-	BALERO 1628-2RS ACERO INOX	-	200.47584
A-11886	-	BALERO 1630-2RS ACERO INOX	-	216.86258
A-11888	-	BALERO 6000-2RS ACERO INOX	-	32.15636
A-11890	-	BALERO 6001-2RS ACERO INOX	-	49.29246
A-11892	-	BALERO 6002-2RS ACERO INOX	-	63.15562
A-11896	-	BALERO 6004-2RS ACERO INOX	-	104.05084
A-11898	-	BALERO 6005-2RS ACERO INOX	-	139.33688
A-11901	-	BALERO 6200-2RS ACERO INOX	-	39.77118
A-11902	-	BALERO 6201-2RS ACERO INOX	-	47.386
A-11904	-	BALERO 6202-2RS ACERO INOX	-	51.61768
A-11906	-	BALERO 6203-2RS ACERO INOX.	-	102.22152
A-11910	-	BALERO 6205-2RS ACERO INOX.	-	249.51484
A-11911	-	BALERO 6901-2RS ACERO INOX.	-	48.31168
A-11911-00	-	BALERO 6902-2RS ACERO INOX.	-	61.3263
A-11911-01	-	BALERO 6903-2RS ACERO INOX.	-	51.61768
A-11912	-	BALERO 6904-2RS ACERO INOX.	-	134.10238
A-11913	-	BALERO 6905-2RS ACERO INOX.	-	174.7772
A-11913-00	-	BALERO 6906-2RS ACERO INOX.	-	219.39718
A-11920	-	BALERO 6802-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	13.48848
A-11930	-	BALERO 6803-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	18.28218
A-11940	-	BALERO 6804-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	16.54102
A-11945	-	BALERO 6805-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	19.53846
A-11950	-	BALERO 6805-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	24.98234
A-11960	-	BALERO 6901-ZZ (PRECIO X PZA - TUBO C/10PZAS)	-	17.14712
A-11965	-	BALERO 6901-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	17.29038
A-11975	-	BALERO 6902-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	14.88802
A-11980	-	BALERO 6903-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	15.22964
A-11990	-	BALERO 6904-2RS	-	19.6156
A-12000	-	BALERO 6905-2RS	-	28.20018
A-12010	-	BALERO 6906-2RS	-	24.56358
A-12052	-	BALERO 62202-2RS (PRECIO X PZA - TUBO C/10PZAS)	-	36.12356
A-12054	-	BALERO 62203-2RS	-	46.31706
A-12056	-	BALERO 62204-2RS	-	57.45828
A-12058	-	BALERO 62205-2RS	-	65.13922
A-12059	-	BALERO 62302-2RS	-	90.27584
A-12060	-	BALERO 7204-B JAULA DE FIERRO	-	55.06694
A-12070	-	BALERO 7205-B JAULA DE FIERRO	-	59.76146
A-12071	-	BALERO 7205-B JAULA DE POLIAMIDA	-	97.43884
A-12080	-	BALERO 7206-B JAULA DE FIERRO	-	70.57208
A-12081	-	BALERO 7206-B JAULA DE POLIAMIDA	-	103.57698
A-12100	-	BALERO 7208-B JAULA DE FIERRO	-	114.29944
A-12110	-	BALERO 7209-B JAULA DE FIERRO	-	131.32534
A-12129	-	BALERO 7210-2RS	-	276.85546
A-12130	-	BALERO 7210-B JAULA DE FIERRO	-	140.37276
A-12132	-	BALINES DE ACERO 3/16" GCR15 (Precio x pza - Empaque c/100 pzas)	-	0.13224
A-12133	-	BALINES DE ACERO 1/8" GCR15 (Precio x pieza - Empaque c/100 pzas)	-	0.06612
A-12134	-	BALINES DE ACERO 1/4" GCR15 (Precio x pieza - Empaque c/100 pzas)	-	0.20938
A-12136	-	BALINES DE ACERO 3/8" GCR15 (Precio x pieza - Empaque c/100 pzas)	-	0.65018
A-12138	-	BALINES DE ACERO 1/2" GCR15 (Precio x pieza - Empaque c/100 pzas)	-	1.38852
A-12140	-	BALINES DE ACERO 5/8" GCR15 (Precio x pieza - Empaque c/100 pzas)	-	2.32522
A-12142	-	BALINES DE ACERO 3/4" GCR15 (Precio x pieza - Empaque c/40 pzas)	-	4.11046
A-12144	-	BALINES DE ACERO 1" GCR15 (Precio x pieza - Empaque c/30 pzas)	-	9.57638
A-12146	-	BALERO MG209MMZ-1	-	262.9372
A-12148	-	BALERO MG307FFA	-	313.1333
A-12150	-	BALERO MG307-2RS-1	-	313.1333
A-12152	-	BALERO MG307-2RS-2	-	313.1333
A-12154	-	BALERO MG308FFH	-	313.1333
A-12156	-	BALERO 309SZZ-9	-	528.26574
A-12158	-	BALERO MG311-2RS-1	-	836.61636
A-12160	-	BALERO 51102	-	16.07818
A-12170	-	BALERO 51103	-	18.19402
A-12180	-	BALERO 51104	-	21.1584
A-12190	-	BALERO 51105	-	27.92468
A-12195	-	BALERO 51106	-	29.62176
A-12198	-	BALERO 51107	-	35.12074
A-12200	-	BALERO 51108	-	43.15432
A-12201	-	BALERO 51109	-	47.386
A-12202	-	BALERO 51110	-	51.61768
A-12204	-	BALERO 51111	-	65.16126
A-12210	-	BALERO 51201	-	23.693
A-12220	-	BALERO 51208	-	68.85296
A-12230	-	BALERO 51206	-	44.00286
A-12240	-	BALERO 51305	-	55.00082
A-12245	-	BALERO 51308	-	129.47398
A-12250	-	BALERO 51310	-	140.6152
A-12255	-	BALERO 51406	-	132.0196
A-12258	-	BALERO 30202	-	42.3168
A-12260	-	BALERO 30203	-	43.15432
A-12270	-	BALERO 30204	-	44.8514
A-12280	-	BALERO 30205	-	56.6979
A-12290	-	BALERO 30206	-	61.77812
A-12300	-	BALERO 30207	-	91.39988
A-12310	-	BALERO 30208	-	109.16412
A-12320	-	BALERO 30209	-	115.09288
A-12330	-	BALERO 30210	-	139.63442
A-12332	-	BALERO 30212	-	158.2472
A-12335	-	BALERO 30302	-	45.69994
A-12340	-	BALERO 30304	-	55.84936
A-12360	-	BALERO 30306	-	109.16412
A-12365	-	BALERO 30312	-	317.34294
A-12370	-	BALERO 32004X	-	45.69994
A-12380	-	BALERO 32207	-	113.3958
A-12385	-	BALERO 32212	-	242.02124
A-12390	-	BALERO 32305	-	111.70974
A-12395	-	BALERO 368S/362	-	151.59112
A-12400	-	BALERO 387A/382A	-	216.64218
A-12410	-	BALERO 395/394A	-	252.18168
A-12413	-	BALERO 395A/394A	-	252.18168
A-12420	-	BALERO 482/472	-	363.89142
A-12440	-	BALERO 575/572	-	485.69548
A-12445	-	BALERO 580/572	-	475.59014
A-12450	-	BALERO 594A/592A	-	529.75344
A-12460	-	BALERO 598A/592A	-	456.23902
A-12464	-	BALERO 63/22	-	74.6605
A-12467	-	BALERO 63/28	-	99.85222
A-12470	-	BALERO 2780/20	-	151.48092
A-12480	-	BALERO 2788/20	-	141.32048
A-12483	-	BALERO 2788/2720	-	141.32048
A-12530	-	BALERO 11749/10 SET-1	-	44.00286
A-12540	-	BALERO 11949/10                    SET-2	-	50.78016
A-12550	-	BALERO 12649/10                    SET-3	-	58.39498
A-12560	-	BALERO 12748/10                    SET-34	-	55.00082
A-12570	-	BALERO 12749/10                   SET-12	-	55.84936
A-12580	-	BALERO 12749/11                   SET-16	-	55.84936
A-12585	-	BALERO 13685/21	-	115.9304
A-12588	-	BALERO 14125/14276	-	132.0196
A-12590	-	BALERO 15101 A	-	67.69586
A-12595	-	BALERO 15101/15245	-	99.85222
A-12597	-	BALERO 15118/15245	-	111.70974
A-12600	-	BALERO 15123/245	-	80.3909
A-12605	-	BALERO 15580/20	-	93.08594
A-12607	-	1931 TAZA	-	59.2325
A-12608	-	BALERO 207049A/10	-	280.75654
A-12609	-	BALERO 212049/11	-	423.12392
A-12610	-	BALERO 25580/20                     SET-52	-	142.58778
A-12620	-	BALERO 25584/20	-	168.40764
A-12630	-	BALERO 25584/23	-	177.70852
A-12640	-	BALERO 25590/20                    SET-54	-	148.9353
A-12650	-	BALERO 25590/23                    SET-55	-	160.7818
A-12660	-	BALERO 29685/20	-	218.32824
A-12667	-	BALERO 29748/10	-	89.7028
A-12670	-	BALERO 29749/10                    SET-70	-	89.7028
A-12673	-	BALERO 3585/25	-	305.65072
A-12675	-	BALERO 3780/20	-	208.17882
A-12678	-	BALERO 3782/20	-	203.0986
A-12680	-	BALERO 39590/39520	-	286.03512
A-12690	-	BALERO 44643/10                   SET-14	-	55.84936
A-12695	-	BALERO 44649/10 SET-4	-	53.73352
A-12697	-	BALERO 45291/45220	-	313.11126
A-12700	-	BALERO 45449/10                   SET-8	-	52.46622
A-12710	-	BALERO 47686/47620	-	445.13086
A-12720	-	BALERO 48548/10                   SET-5	-	76.15922
A-12770	-	BALERO 67048/10                   SET-6	-	70.24148
A-12780	-	BALERO 68149/10                   SET-13	-	70.24148
A-12790	-	BALERO 68149/11                  SET-17	-	68.5444
A-12800	-	BALERO 69349/10	-	85.47112
A-12820	-	BALERO 86647/10	-	126.93938
A-12825	-	BALERO 86649/10	-	117.62748
A-12860	-	BALERO 501349/10              SET-45	-	102.39784
A-12870	-	BALERO 501349/14	-	108.31558
A-12872	-	BALERO 3767/20	-	228.0589
A-12874	-	BALERO 13685/13620	-	121.01062
